""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"1-D0AM"	34848	31717	31600	31633	25400	23362
"1-D0PM"	43903	39917	39710	39847	31502	26904
"1-D1AM"	66832	59769	59535	59554	46686	39721
"1-D1PM"	61771	53384	53261	53131	45620	39734
"1-D29AM"	62205	57829	57470	57666	52484	42662
"1-D29PM"	59721	54683	54286	54505	48280	38549
"1-D2AM"	66674	59911	59686	59710	52677	42520
"1-D2PM"	87366	80061	79557	79786	73102	61259
"1-D3AM"	65842	58263	58029	58054	51851	42831
"1-D3PM"	77977	68896	68668	68624	59831	49343
"1-D4AM"	72461	64038	63871	63844	56204	49142
"1-D4PM"	71323	63676	63361	63458	55789	45730
"1-D5"	112199	103226	102762	103004	94904	73397
"1-D6"	83283	75624	75233	75382	67333	54084
"1-D7"	82162	73413	73011	73123	64265	50143
"10-D0AM"	371	218	199	180	85	84
"10-D10"	64397	60275	60107	60143	55800	46512
"10-D11"	166820	120519	120269	119378	99908	82066
"10-D14"	145075	124712	124543	124213	111357	96268
"10-D16"	127559	101720	101585	101028	89536	78009
"10-D18"	119332	110636	110281	110426	102375	82540
"10-D1AM"	69752	63234	63050	63014	55568	49805
"10-D1PM"	77717	69337	68950	69049	60095	48392
"10-D21AM"	157286	144397	143969	144018	132031	108082
"10-D21PM"	107329	94133	93770	93802	86219	70385
"10-D22AM"	76404	71504	71227	71353	67912	59366
"10-D22PM"	97309	89987	89628	89769	84628	73812
"10-D23AM"	77589	72815	72391	72623	69314	63808
"10-D23PM"	65500	53310	53075	52994	48783	45097
"10-D24"	84708	80003	79684	79887	77058	67507
"10-D25"	68124	64616	64267	64461	61302	56348
"10-D29AM"	61868	57961	57775	57856	54052	43795
"10-D29PM"	69448	64387	64219	64234	59115	49186
"10-D2AM"	86173	78453	78162	78265	72338	61810
"10-D2PM"	111288	101887	101608	101673	96018	81380
"10-D30AM"	65905	60752	60637	60660	56291	47551
"10-D30PM"	107799	98026	97679	97778	87493	71261
"10-D31AM"	97582	91012	90733	90866	85295	69762
"10-D31PM"	72102	66687	66522	66544	62079	51631
"10-D32"	88665	81716	81474	81563	74379	60974
"10-D33"	87078	79599	79290	79437	72839	59104
"10-D35AM"	77297	72010	71749	71861	66717	55143
"10-D35PM"	85694	79007	78721	78869	72321	58871
"10-D36AM"	113628	103257	103056	103075	96939	79287
"10-D36PM"	106634	94861	94714	94616	86303	74667
"10-D37AM"	87214	72996	72879	72747	65633	58729
"10-D37PM"	95567	83133	82959	82875	76150	66387
"10-D38"	119201	106018	105687	105723	98230	86574
"10-D39"	86381	76932	76841	76792	73279	67018
"10-D3AM"	94821	83275	83061	82909	76049	66033
"10-D3PM"	108265	95908	95718	95577	87027	78327
"10-D42AM"	83914	75413	75282	75237	71534	60827
"10-D42PM"	122069	114241	114108	114085	109297	91925
"10-D43AM"	102148	95869	95731	95761	90924	77375
"10-D43PM"	84931	80218	80154	80132	76753	69128
"10-D44AM"	82865	78144	78098	78067	74772	67713
"10-D44PM"	110201	104148	104040	104017	99541	85063
"10-D45AM"	101024	96009	95827	95868	91539	76501
"10-D45PM"	121947	114514	114295	114357	106737	86644
"10-D46"	125357	118074	117750	117885	110607	90503
"10-D47"	87176	82655	82476	82522	78910	65629
"10-D4AM"	104929	93812	93409	93379	84185	71670
"10-D4PM"	103614	95134	94773	94936	89208	72896
"10-D5"	91279	82869	82640	82625	75726	65133
"10-D50AM"	94781	89270	89082	89112	83700	69122
"10-D50PM"	95936	90118	89901	89976	84746	70092
"10-D51AM"	64558	60797	60666	60697	57072	47678
"10-D51PM"	77708	72393	72307	72265	66953	58688
"10-D52AM"	83382	77121	76997	76986	71291	62171
"10-D52PM"	96698	90005	89814	89834	82900	68527
"10-D53"	77420	72277	71989	72100	64997	53775
"10-D54"	70281	62593	62255	62440	56205	46266
"10-D57AM"	66102	62037	61720	61743	55831	45624
"10-D57PM"	73823	68711	68397	68512	59632	47756
"10-D58AM"	76575	71975	71554	71667	63157	49827
"10-D58PM"	78174	73920	73657	73663	66894	51838
"10-D59AM"	55189	52174	52020	51988	47629	39899
"10-D59PM"	72829	68027	67768	67853	61871	50017
"10-D6"	132602	115275	114923	114513	100938	84067
"10-D60AM"	95303	90821	90407	90514	81797	65920
"10-D60PM"	93891	90044	89648	89795	83614	66662
"10-D61"	67495	63478	63245	63276	57957	47130
"10-D62"	67952	64266	64088	64104	59642	50220
"10-D63"	68096	65078	64794	64965	60089	45009
"10-D64AM"	63685	60612	60466	60481	56791	49055
"10-D64PM"	139127	131721	131295	131437	122770	101686
"10-D7"	102042	93104	92753	92880	85761	73200
"10-D8"	55588	50926	50774	50821	47063	39307
"10-D9"	80017	73896	73637	73720	68717	57186
"2-D0AM"	5178	4506	4430	4437	3973	3927
"2-D0PM"	13582	12326	12253	12256	11245	11009
"2-D10"	88844	80745	80300	80481	72502	58244
"2-D11"	54927	50438	50080	50257	45861	37167
"2-D14"	110195	97330	96845	96976	84745	67598
"2-D16"	128691	111649	111311	111255	97993	81856
"2-D18"	157467	144837	143847	144382	130603	102664
"2-D1AM"	54243	47723	47506	47473	38751	31628
"2-D1PM"	65456	55203	55093	54877	48518	42059
"2-D21AM"	90455	83380	82845	83131	75443	58309
"2-D21PM"	142368	130721	129704	130226	116865	90763
"2-D22AM"	67419	63804	63156	63577	59378	51193
"2-D22PM"	66162	62410	61799	62190	57948	49342
"2-D23AM"	43942	40044	39825	39883	37526	34672
"2-D23PM"	49680	46447	46024	46254	43091	38193
"2-D24"	49802	44125	43801	43922	40800	36420
