"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"10-D0AM"	371	287	225	173	205	36	87	19	86	18
"2-D0AM"	5178	1735	4509	1276	4432	163	3998	119	3952	107
"3-D0AM"	5231	1550	4579	1116	4537	167	4025	125	3971	107
"9-D0AM"	6977	2304	6061	1685	5969	187	5114	135	5010	125
"6-D0AM"	8960	2223	8129	1717	8084	209	7312	166	7212	128
"4-D0AM"	9134	2222	8149	1642	8076	186	6408	142	6344	120
"5-D0AM"	12040	2974	10891	2279	10808	265	10027	212	9757	135
"8-D0AM"	12985	3055	11732	2365	11693	314	10820	253	10489	160
"2-D0PM"	13582	3044	12328	2269	12252	252	10986	196	10763	142
"4-D0PM"	15822	3743	14220	2836	14096	277	12877	188	12630	143
"7-D0AM"	22593	4804	20658	3788	20606	410	17655	325	16908	164
"2-D8"	33371	7780	31084	6266	31009	650	28758	521	25292	96
"inoculum1-5"	34276	9567	32522	8045	31729	580	29119	476	26308	203
"4-D8"	34634	8388	31346	6344	31274	643	28273	475	24659	86
"1-D0AM"	34848	6177	31684	4350	31552	238	25050	189	23052	97
"5-D8"	35751	8012	32970	6248	32915	638	31051	504	27626	81
"5-D60AM"	36044	8080	33547	6248	33434	776	30480	651	24797	88
"6-D8"	37429	7229	35024	5919	34973	503	33112	397	30193	82
"2-D57PM"	37764	9119	35195	7048	35030	888	31770	723	25755	86
"2-D59PM"	38539	7058	36821	5757	36667	813	33844	687	27513	85
"2-D59AM"	39959	8951	37990	7379	37707	991	34369	845	26023	99
"6-D64PM"	42250	7625	39976	6006	39851	703	36131	555	30403	81
"4-D23PM"	42284	10900	39587	9108	39166	1009	36328	782	32029	131
"3-D53"	43614	9634	39937	7555	39746	839	35541	651	29425	100
"1-D0PM"	43903	8507	39889	6065	39663	349	31234	278	26679	103
"2-D23AM"	43942	9216	40359	6963	40131	833	37950	621	35104	117
"3-D64AM"	44624	9298	42649	7685	42410	1097	39243	962	30729	89
"3-D60AM"	44760	10787	41925	8523	41697	951	38045	812	29783	92
"3-D57AM"	44862	11104	41244	8272	40933	855	37170	699	29787	103
"5-D1AM"	45560	10878	39487	8152	39304	549	33851	414	29982	57
"4-D24"	45716	10771	41430	8753	40930	985	37797	723	33045	130
"3-D8"	45798	9890	42379	7979	42301	736	39179	597	33870	97
"5-D23PM"	45965	11844	43406	9882	42840	988	39430	766	34937	141
"3-D0PM"	45985	8174	41888	6003	41711	300	30497	223	26476	77
"3-D51AM"	46288	7707	42557	6087	42448	655	38241	522	33773	75
"2-D64PM"	46903	10396	44329	8352	44136	993	39969	839	32047	94
"5-D64AM"	47270	10468	44568	8235	44405	1041	40133	895	32330	92
"9-D29PM"	47371	10623	44327	8715	44151	863	40710	715	32576	100
"9-D58PM"	47603	8109	45193	6337	45083	688	40902	560	33455	75
"5-D0PM"	47614	9618	43311	7110	43058	283	31284	209	25210	68
"9-D23AM"	47723	12212	44693	9926	44177	1018	41058	806	36374	125
"9-D54"	47840	8914	43133	7226	42927	791	38752	625	33030	102
"2-D3AM"	47916	10233	42863	7894	42726	860	37244	615	31972	93
"8-D54"	48309	9190	43476	7360	43220	826	38556	642	32584	99
"2-D63"	48364	12636	45937	10582	45537	1176	40977	1016	26597	104
"3-D57PM"	49001	10806	45797	8432	45499	868	41269	723	32665	99
"4-D64AM"	49007	11958	46580	9966	46238	1170	42121	1000	30202	105
"5-D64PM"	49350	10220	46614	8041	46423	1006	42488	861	34719	88
"5-D28PM"	49624	13831	46194	11379	45599	1013	40887	786	35245	131
"2-D23PM"	49680	11718	46701	9650	46249	1014	43443	841	38359	134
"2-D24"	49802	10883	44875	8337	44521	987	41335	699	36881	109
"9-D64AM"	50111	9795	47489	7668	47318	815	43557	684	34772	88
"6-D0PM"	50213	6694	46041	4930	45926	266	30907	196	27128	58
"3-D60PM"	50488	10278	48405	8565	48136	1048	44901	911	35121	97
"5-D29AM"	50722	16344	47325	13910	46819	1377	41064	1159	28503	101
"4-D51PM"	50805	9362	47802	7559	47604	944	44476	795	37285	82
"4-D64PM"	51071	10145	48209	7906	48039	930	44593	815	36112	90
"4-D9"	51119	13881	47162	11249	46806	1154	42909	940	35386	121
"3-D59PM"	51160	8768	49230	7385	49004	964	43669	798	35674	98
"5-D62"	51318	11786	48342	9253	48070	1154	44208	1010	35160	101
"2-D51AM"	51366	10666	48233	8671	48047	925	43347	786	35813	92
"4-D30PM"	51645	12307	46771	9476	46615	1029	42151	810	36545	110
"5-D58AM"	51732	10945	48051	8120	47865	784	43936	681	35333	70
"5-D24"	52081	11618	47732	9214	47222	1024	43791	738	39376	127
"2-D51PM"	52099	9889	49646	8230	49393	978	46134	830	38382	100
"3-D44AM"	52314	10945	48739	8543	48674	822	44253	687	36466	54
"3-D22PM"	52375	13465	48526	10752	48014	1167	44282	900	39167	144
"6-D64AM"	52503	10107	49540	7876	49354	795	45110	663	37443	88
"3-D24"	52585	9722	48425	7524	48143	866	45727	633	41224	106
