sampleID	mass1	mass2	mass3
10-0AM	31244459.19998972	66240726.21296106	21468915.10541519
10-1AM	8787440405.903667	15034457656.969501	10812377331.459532
10-1PM	49758144503.57423	109323703860.9093	112121422711.84898
10-2AM	73858363536.03934	121884763804.29846	153688988537.3757
10-2PM	134498564739.39969	148701622943.51364	183286745796.24268
10-3AM	24466886723.56548	35589986699.93273	32560915392.929825
10-3PM	129136185227.61105	130630228824.94199	82982897306.17796
10-4AM	38545186769.58088	42397507342.39564	67740468784.28386
10-4PM	35408038145.45117	49415783808.622955	66338830307.49818
10-5AM	14261652848.726765	11146950372.815657	21264931634.302692
10-6AM	50172004756.9826	87334557808.33078	89720928565.93893
10-7AM	301360479007.33813	114643473652.03009	345134905757.6017
10-8AM	185384119733.05276	272906327865.49472	227370173390.08514
10-9AM	174139026605.97095	107588132439.44908	129320936983.619
10-10AM	124971446228.46657	147657087762.4607	58661291490.919235
10-11AM	143043915191.2778	215455387258.7452	293199726018.65607
10-14AM	72746835530.00653	195094250365.161	69494827730.5755
10-16AM	93644844758.60408	116778847248.8908	110718367253.09573
10-18AM	57604658958.389206	79849198300.33678	103215068318.63036
10-21AM	130502986978.10454	230374879314.46515	168095797820.3915
10-21PM	187967460114.66302	195384947867.1706	302999336667.6187
10-22AM	97459525397.15865	83610873385.77501	116867666912.38698
10-22PM	44953091758.04084	89373328068.615	80746909001.49536
10-23AM	31776736531.08501	62190966542.53469	19965360808.410534
10-23PM	64387754561.79754	110130083918.29807	131946990169.8528
10-24AM	71753967749.05775	92923731268.17546	110991350187.97691
10-25AM	161542419185.3228	257409482679.2961	288858052198.62964
10-29AM	170257410309.67072	202570016525.15173	222722460781.86426
10-29PM	222020633338.73398	446857147004.91003	323145298012.66595
10-30AM	149641930885.95038	302850986505.68945	311775341912.07874
10-30PM	350208242988.2924	528188627977.7077	394284680456.8521
10-31AM	390754810531.30096	189299416171.52304	359232401397.28827
10-31PM	129152913122.57391	251326988905.26038	147992330401.39252
10-32AM	495791896583.0835	512647036393.9931	272152058373.93005
10-33AM	286801621964.0265	267185339071.3523	208354106250.0157
10-35AM	349491308254.8291	235032841126.87628	415952609099.2372
10-35PM	522252912507.9998	215089779815.95633	659377817549.5385
10-36AM	132201965152.93654	58854866903.050385	186682391232.40604
10-36PM	140876564510.4757	247516157968.59045	166281536561.178
10-37AM	165043478391.6079	72975534475.63298	149522304289.59253
10-37PM	1085912648177.4677	2019930187538.7402	2649231668720.283
10-38AM	68891172293.80853	64687738206.55751	84969329855.513
10-39AM	47605005867.10419	96272432963.11835	72424731679.9673
10-42AM	59262492409.786514	49634039498.326	48720917739.67468
10-42PM	30357673195.776546	36992498187.68447	48225640730.37575
10-43AM	38763462633.90739	36416100619.29574	57808056012.07594
10-43PM	54523382484.48149	29587640550.642754	41787381183.42681
10-44AM	45099840901.32057	47835250424.08059	24911898447.970367
10-44PM	28364496431.707035	51586816497.96305	47423406084.65744
10-45AM	40224320827.01903	38683869633.21994	56338443423.42324
10-45PM	14397264598.411978	40514421315.86794	36843020276.770805
10-46AM	12639740592.14081	27104862942.408096	26493263214.59202
10-47AM	20965239914.087612	38035727774.719444	39270497080.66137
10-50AM	38795232057.40025	62218563887.71144	29660248020.09283
