sampleID	subject	time	perturbation:High Fat Diet	perturbation:Vancomycin	perturbation:Gentamicin
10-0AM	10	0.0	0	0	0
10-1AM	10	1.0	0	0	0
10-1PM	10	1.5	0	0	0
10-2AM	10	2.0	0	0	0
10-2PM	10	2.5	0	0	0
10-3AM	10	3.0	0	0	0
10-3PM	10	3.5	0	0	0
10-4AM	10	4.0	0	0	0
10-4PM	10	4.5	0	0	0
10-5AM	10	5.0	0	0	0
10-6AM	10	6.0	0	0	0
10-7AM	10	7.0	0	0	0
10-8AM	10	8.0	0	0	0
10-9AM	10	9.0	0	0	0
10-10AM	10	10.0	0	0	0
10-11AM	10	11.0	0	0	0
10-14AM	10	14.0	0	0	0
10-16AM	10	16.0	0	0	0
10-18AM	10	18.0	0	0	0
10-21AM	10	21.0	0	0	0
10-21PM	10	21.5	0	0	0
10-22AM	10	22.0	1	0	0
10-22PM	10	22.5	1	0	0
10-23AM	10	23.0	1	0	0
10-23PM	10	23.5	1	0	0
10-24AM	10	24.0	1	0	0
10-25AM	10	25.0	1	0	0
10-29AM	10	29.0	0	0	0
10-29PM	10	29.5	0	0	0
10-30AM	10	30.0	0	0	0
10-30PM	10	30.5	0	0	0
10-31AM	10	31.0	0	0	0
10-31PM	10	31.5	0	0	0
10-32AM	10	32.0	0	0	0
10-33AM	10	33.0	0	0	0
10-35AM	10	35.0	0	0	0
10-35PM	10	35.5	0	0	0
10-36AM	10	36.0	0	1	0
10-36PM	10	36.5	0	1	0
10-37AM	10	37.0	0	1	0
10-37PM	10	37.5	0	1	0
10-38AM	10	38.0	0	1	0
10-39AM	10	39.0	0	1	0
10-42AM	10	42.0	0	1	0
10-42PM	10	42.5	0	1	0
10-43AM	10	43.0	0	0	0
10-43PM	10	43.5	0	0	0
10-44AM	10	44.0	0	0	0
10-44PM	10	44.5	0	0	0
10-45AM	10	45.0	0	0	0
10-45PM	10	45.5	0	0	0
10-46AM	10	46.0	0	0	0
10-47AM	10	47.0	0	0	0
10-50AM	10	50.0	0	0	0
10-50PM	10	50.5	0	0	0
10-51AM	10	51.0	0	0	1
10-51PM	10	51.5	0	0	1
10-52AM	10	52.0	0	0	1
10-52PM	10	52.5	0	0	1
10-53AM	10	53.0	0	0	1
10-54AM	10	54.0	0	0	1
10-57AM	10	57.0	0	0	1
10-57PM	10	57.5	0	0	1
10-58AM	10	58.0	0	0	0
10-58PM	10	58.5	0	0	0
10-59AM	10	59.0	0	0	0
10-59PM	10	59.5	0	0	0
