sampleID	subject	time
0-T0	0	0.023023
1-T0	1	0.023023
2-T0	2	0.023023
3-T0	3	0.023023
4-T0	4	0.023023
0-T1	0	1.013013
1-T1	1	1.013013
2-T1	2	1.013013
3-T1	3	1.013013
4-T1	4	1.013013
0-T2	0	2.003003
1-T2	1	2.003003
2-T2	2	2.003003
3-T2	3	2.003003
4-T2	4	2.003003
0-T3	0	3.016016
1-T3	1	3.016016
2-T3	2	3.016016
3-T3	3	3.016016
4-T3	4	3.016016
0-T4	0	4.006006
1-T4	1	4.006006
2-T4	2	4.006006
3-T4	3	4.006006
4-T4	4	4.006006
0-T5	0	5.019019
1-T5	1	5.019019
2-T5	2	5.019019
3-T5	3	5.019019
4-T5	4	5.019019
0-T6	0	6.009009
1-T6	1	6.009009
2-T6	2	6.009009
3-T6	3	6.009009
4-T6	4	6.009009
0-T7	0	7.022022
1-T7	1	7.022022
2-T7	2	7.022022
3-T7	3	7.022022
4-T7	4	7.022022
0-T8	0	8.012012
1-T8	1	8.012012
2-T8	2	8.012012
3-T8	3	8.012012
4-T8	4	8.012012
0-T9	0	9.002002
1-T9	1	9.002002
2-T9	2	9.002002
3-T9	3	9.002002
4-T9	4	9.002002
0-T10	0	10.015015
1-T10	1	10.015015
2-T10	2	10.015015
3-T10	3	10.015015
4-T10	4	10.015015
0-T11	0	11.005005
1-T11	1	11.005005
2-T11	2	11.005005
3-T11	3	11.005005
4-T11	4	11.005005
0-T12	0	12.018018
1-T12	1	12.018018
2-T12	2	12.018018
3-T12	3	12.018018
4-T12	4	12.018018
0-T13	0	13.008008
1-T13	1	13.008008
2-T13	2	13.008008
3-T13	3	13.008008
4-T13	4	13.008008
0-T14	0	14.021021
1-T14	1	14.021021
2-T14	2	14.021021
3-T14	3	14.021021
4-T14	4	14.021021
0-T15	0	15.011011
1-T15	1	15.011011
2-T15	2	15.011011
3-T15	3	15.011011
4-T15	4	15.011011
0-T16	0	16.001001
1-T16	1	16.001001
2-T16	2	16.001001
3-T16	3	16.001001
4-T16	4	16.001001
0-T17	0	17.014014
1-T17	1	17.014014
2-T17	2	17.014014
3-T17	3	17.014014
4-T17	4	17.014014
0-T18	0	18.004004
1-T18	1	18.004004
2-T18	2	18.004004
3-T18	3	18.004004
4-T18	4	18.004004
0-T19	0	19.017017
1-T19	1	19.017017
2-T19	2	19.017017
3-T19	3	19.017017
4-T19	4	19.017017
0-T20	0	20.007007
1-T20	1	20.007007
2-T20	2	20.007007
3-T20	3	20.007007
4-T20	4	20.007007
0-T21	0	21.020020
1-T21	1	21.020020
2-T21	2	21.020020
3-T21	3	21.020020
4-T21	4	21.020020
0-T22	0	22.010010
1-T22	1	22.010010
2-T22	2	22.010010
3-T22	3	22.010010
4-T22	4	22.010010
